Date,Product_Name,Category,Units_Sold,Inventory_Level,Price,Promotion,Supplier,Lead_Time,Revenue
2024-10-30,Face Wash,Personal Care,35,318,949.23,No,Nova Supply,8,33223.05
2023-06-19,Soap,Personal Care,62,167,1344.06,Yes,Prime Distribution,10,83331.72
2023-10-04,Keyboard,Electronics,65,113,1365.18,No,Global Traders,4,88736.7
2024-11-10,Coffee,Groceries,64,296,1896.23,Yes,Nova Supply,11,121358.72
2023-07-06,Speaker,Electronics,51,45,1516.61,No,Global Traders,5,77347.11
2024-08-20,Conditioner,Personal Care,48,217,229.35,Yes,Global Traders,13,11008.8
2024-12-17,Cheese,Groceries,77,403,1164.17,Yes,Smart Wholesale,11,89641.09
2024-07-02,Tablet,Electronics,52,68,1030.87,Yes,ABC Suppliers,6,53605.24
2023-03-02,Cheese,Groceries,30,433,1172.07,Yes,Smart Wholesale,3,35162.1
2024-07-06,Tea,Groceries,58,72,439.88,Yes,Prime Distribution,2,25513.04
2023-01-01,Tablet,Electronics,41,152,500.68,Yes,Nova Supply,15,20527.88
2023-04-06,Butter,Groceries,48,161,1589.85,No,Nova Supply,2,76312.8
2024-03-28,Juice,Groceries,50,389,359.16,No,Nova Supply,12,17958.0
2024-04-15,Eggs,Groceries,47,186,794.5,Yes,Smart Wholesale,10,37341.5
2024-12-12,Monitor,Electronics,65,55,1463.54,Yes,Global Traders,9,95130.1
2023-04-04,Printer,Electronics,26,305,1163.09,Yes,Prime Distribution,14,30240.34
2024-08-27,Butter,Groceries,28,267,1462.97,No,ABC Suppliers,9,40963.16
2024-06-26,Juice,Groceries,59,388,1095.71,Yes,Global Traders,15,64646.89
2023-06-04,Mouse,Electronics,43,269,1940.48,No,ABC Suppliers,3,83440.64
2024-11-30,Cheese,Groceries,62,269,198.74,No,ABC Suppliers,10,12321.88
2024-12-30,Rice,Groceries,50,391,1375.76,No,Global Traders,14,68788.0
2023-07-12,Butter,Groceries,40,165,721.46,Yes,Prime Distribution,11,28858.4
2023-07-06,Toothpaste,Personal Care,64,47,285.35,No,Prime Distribution,6,18262.4
2023-03-01,Milk,Groceries,27,320,76.37,Yes,Global Traders,4,2061.99
2024-11-19,Deodorant,Personal Care,62,332,677.53,Yes,Prime Distribution,8,42006.86
2023-06-08,Sanitizer,Personal Care,38,304,833.93,Yes,Smart Wholesale,7,31689.34
2024-07-28,Hair Oil,Personal Care,49,356,100.89,Yes,ABC Suppliers,13,4943.61
2024-01-02,Keyboard,Electronics,46,403,579.81,No,Nova Supply,15,26671.26
2023-05-31,Laptop,Electronics,18,85,763.01,Yes,Smart Wholesale,8,13734.18
2024-04-26,Printer,Electronics,49,99,1565.02,No,Smart Wholesale,11,76685.98
2023-05-25,Monitor,Electronics,35,142,873.73,No,Smart Wholesale,9,30580.55
2024-06-30,Soap,Personal Care,47,169,1720.23,Yes,ABC Suppliers,13,80850.81
2024-12-10,Sanitizer,Personal Care,62,274,267.3,No,Nova Supply,14,16572.6
2023-05-22,Bread,Groceries,41,315,1810.69,Yes,Prime Distribution,8,74238.29
2024-10-09,Rice,Groceries,43,268,1751.02,No,Smart Wholesale,15,75293.86
2024-11-17,Juice,Groceries,66,351,788.66,No,Nova Supply,9,52051.56
2023-07-23,Monitor,Electronics,54,46,151.72,Yes,Prime Distribution,9,8192.88
2023-07-11,Mouse,Electronics,58,164,174.3,Yes,ABC Suppliers,14,10109.4
2023-01-08,Deodorant,Personal Care,42,267,1589.1,No,Global Traders,9,66742.2
2023-09-26,Eggs,Groceries,44,487,1250.18,No,Smart Wholesale,10,55007.92
2024-02-16,Sugar,Groceries,31,274,1840.42,No,ABC Suppliers,10,57053.02
2023-06-27,Toothpaste,Personal Care,57,166,758.98,Yes,Nova Supply,11,43261.86
2023-06-16,Phone,Electronics,63,242,999.03,No,Nova Supply,13,62938.89
2023-08-03,Cheese,Groceries,36,452,1922.2,No,ABC Suppliers,11,69199.2
2023-05-25,Keyboard,Electronics,48,384,111.32,Yes,Global Traders,5,5343.36
2024-04-13,Lotion,Personal Care,61,468,1551.84,No,ABC Suppliers,14,94662.24
2024-01-18,Coffee,Groceries,38,344,424.26,No,Global Traders,10,16121.88
2024-11-27,Camera,Electronics,60,319,1313.79,Yes,Prime Distribution,8,78827.4
2023-05-29,Tea,Groceries,44,475,96.71,No,ABC Suppliers,8,4255.24
2024-01-05,Headphones,Electronics,36,480,1680.81,No,Smart Wholesale,10,60509.16
2024-09-25,Headphones,Electronics,50,417,468.21,No,Smart Wholesale,8,23410.5
2023-08-30,Camera,Electronics,33,380,686.82,No,Global Traders,12,22665.06
2023-02-09,Face Wash,Personal Care,37,100,1060.76,No,Smart Wholesale,10,39248.12
2024-04-07,Mouse,Electronics,30,365,101.82,No,ABC Suppliers,12,3054.6
2024-03-21,Shampoo,Personal Care,24,165,1966.1,No,Smart Wholesale,9,47186.4
2024-12-17,Phone,Electronics,68,272,1865.46,Yes,ABC Suppliers,12,126851.28
2023-10-06,Coffee,Groceries,60,58,809.6,Yes,Prime Distribution,14,48576.0
2023-09-06,Camera,Electronics,25,451,455.52,No,Prime Distribution,8,11388.0
2023-01-08,Coffee,Groceries,50,385,1997.63,Yes,Smart Wholesale,9,99881.5
2024-11-06,Soap,Personal Care,52,78,1546.62,No,ABC Suppliers,4,80424.24
2024-04-26,Eggs,Groceries,50,307,1857.33,Yes,Nova Supply,11,92866.5
2023-09-25,Bread,Groceries,46,366,1617.57,No,Global Traders,11,74408.22
2024-09-29,Mouse,Electronics,42,422,133.03,No,Prime Distribution,14,5587.26
2023-12-05,Tablet,Electronics,76,220,992.06,No,ABC Suppliers,6,75396.56
2023-09-03,Printer,Electronics,41,89,1894.63,Yes,Global Traders,11,77679.83
2023-12-18,Tea,Groceries,74,151,814.6,Yes,Nova Supply,15,60280.4
2024-06-15,Keyboard,Electronics,57,368,1451.43,Yes,Smart Wholesale,2,82731.51
2024-01-25,Laptop,Electronics,28,208,1546.07,No,Nova Supply,11,43289.96
2024-06-01,Soap,Personal Care,52,108,1741.45,Yes,Prime Distribution,4,90555.4
2023-12-07,Keyboard,Electronics,78,146,362.17,No,Nova Supply,4,28249.26
2024-07-03,Mouse,Electronics,54,469,44.63,No,Prime Distribution,2,2410.02
2024-07-30,Eggs,Groceries,50,336,1893.83,No,Nova Supply,11,94691.5
2023-10-05,Camera,Electronics,33,271,1357.13,No,Prime Distribution,8,44785.29
2023-11-26,Perfume,Personal Care,54,388,92.97,No,Prime Distribution,6,5020.38
2024-04-29,Juice,Groceries,27,422,1393.26,Yes,Global Traders,6,37618.02
2024-12-29,Deodorant,Personal Care,58,241,209.68,No,ABC Suppliers,12,12161.44
2023-04-11,Mouse,Electronics,46,132,648.1,Yes,Prime Distribution,11,29812.6
2024-06-08,Juice,Groceries,58,393,1102.32,No,Smart Wholesale,7,63934.56
2023-05-24,Monitor,Electronics,41,360,1427.61,Yes,Nova Supply,4,58532.01
2023-07-26,Deodorant,Personal Care,48,441,1849.78,Yes,Global Traders,8,88789.44
2023-10-27,Eggs,Groceries,28,328,811.96,Yes,Nova Supply,10,22734.88
2024-11-08,Phone,Electronics,62,292,588.85,No,Nova Supply,10,36508.7
2024-04-28,Sanitizer,Personal Care,39,172,455.13,No,Global Traders,13,17750.07
2024-12-20,Juice,Groceries,53,372,1819.09,No,ABC Suppliers,12,96411.77
2023-04-08,Toothpaste,Personal Care,40,68,1515.46,Yes,Prime Distribution,2,60618.4
2023-12-09,Tablet,Electronics,47,382,124.87,Yes,Global Traders,8,5868.89
2024-07-02,Juice,Groceries,59,259,343.11,No,Nova Supply,2,20243.49
2024-06-22,Speaker,Electronics,45,61,562.75,Yes,Smart Wholesale,15,25323.75
2024-03-12,Bread,Groceries,45,204,801.67,No,Prime Distribution,11,36075.15
2024-10-25,Soap,Personal Care,37,296,154.15,No,Smart Wholesale,12,5703.55
2023-06-18,Keyboard,Electronics,57,500,910.85,Yes,Global Traders,7,51918.45
2023-04-17,Face Wash,Personal Care,41,344,1685.41,Yes,Smart Wholesale,7,69101.81
2024-11-10,Printer,Electronics,67,199,78.71,Yes,Global Traders,12,5273.57
2023-03-15,Phone,Electronics,50,78,1442.95,Yes,ABC Suppliers,11,72147.5
2023-10-31,Bread,Groceries,36,129,111.65,No,Smart Wholesale,9,4019.4
2024-10-12,Sanitizer,Personal Care,37,431,744.74,Yes,ABC Suppliers,10,27555.38
2023-06-02,Eggs,Groceries,48,350,1440.01,Yes,Prime Distribution,14,69120.48
2023-07-22,Camera,Electronics,56,402,1773.38,Yes,ABC Suppliers,6,99309.28
2023-10-13,Conditioner,Personal Care,55,404,542.04,No,ABC Suppliers,3,29812.2
2024-02-07,Face Wash,Personal Care,43,183,1938.43,Yes,ABC Suppliers,2,83352.49
2024-05-24,Speaker,Electronics,40,348,1800.66,No,Nova Supply,2,72026.4
2024-05-01,Deodorant,Personal Care,40,112,1324.92,Yes,Global Traders,7,52996.8
2023-03-02,Deodorant,Personal Care,29,444,464.79,No,Smart Wholesale,12,13478.91
2023-04-05,Sugar,Groceries,44,239,101.57,No,Smart Wholesale,4,4469.08
2024-11-25,Camera,Electronics,70,419,1159.14,No,Smart Wholesale,9,81139.8
2024-09-15,Cheese,Groceries,34,433,1811.29,Yes,Global Traders,2,61583.86
2023-07-17,Hair Oil,Personal Care,48,347,1034.05,No,Prime Distribution,14,49634.4
2024-05-27,Monitor,Electronics,41,74,714.03,Yes,ABC Suppliers,14,29275.23
2023-02-06,Rice,Groceries,29,467,1093.02,No,ABC Suppliers,2,31697.58
2024-02-26,Hair Oil,Personal Care,32,187,357.57,No,Nova Supply,10,11442.24
2023-02-09,Eggs,Groceries,29,176,1224.69,No,Prime Distribution,2,35516.01
2024-01-12,Face Wash,Personal Care,46,381,982.06,No,Smart Wholesale,15,45174.76
2023-10-17,Coffee,Groceries,34,253,1841.04,No,Smart Wholesale,3,62595.36
2023-05-10,Mouse,Electronics,43,186,1306.82,No,Nova Supply,15,56193.26
2023-04-24,Soap,Personal Care,47,453,888.81,No,Global Traders,11,41774.07
2024-02-18,Milk,Groceries,41,460,934.13,No,Smart Wholesale,6,38299.33
2024-01-24,Sugar,Groceries,42,242,255.73,Yes,Nova Supply,6,10740.66
2023-09-12,Shampoo,Personal Care,39,336,159.99,Yes,Prime Distribution,7,6239.61
2023-09-20,Printer,Electronics,41,473,1358.45,Yes,Global Traders,8,55696.45
2024-04-24,Toothpaste,Personal Care,38,350,422.72,No,Global Traders,6,16063.36
2024-01-29,Camera,Electronics,44,427,550.32,Yes,Smart Wholesale,14,24214.08
2023-12-17,Cheese,Groceries,64,145,647.46,No,Prime Distribution,9,41437.44
2024-12-16,Sanitizer,Personal Care,50,139,1154.33,Yes,Smart Wholesale,6,57716.5
2023-11-19,Soap,Personal Care,55,277,550.29,No,Smart Wholesale,9,30265.95
2024-05-07,Camera,Electronics,37,213,903.4,No,ABC Suppliers,14,33425.8
2024-04-21,Lotion,Personal Care,40,498,1803.17,Yes,ABC Suppliers,9,72126.8
2023-05-08,Sanitizer,Personal Care,37,71,753.72,No,Nova Supply,8,27887.64
2024-09-24,Soap,Personal Care,52,182,803.1,No,Nova Supply,4,41761.2
2024-08-04,Sanitizer,Personal Care,44,374,1088.15,No,Global Traders,11,47878.6
2023-06-24,Conditioner,Personal Care,39,235,742.59,Yes,Prime Distribution,4,28961.01
2024-07-26,Tablet,Electronics,55,41,721.54,No,Global Traders,4,39684.7
2023-10-08,Speaker,Electronics,39,180,223.85,No,ABC Suppliers,14,8730.15
2024-08-27,Tablet,Electronics,48,55,913.11,No,Global Traders,2,43829.28
2024-09-14,Camera,Electronics,34,130,1628.84,Yes,Nova Supply,13,55380.56
2023-01-18,Phone,Electronics,32,169,1659.58,Yes,Smart Wholesale,9,53106.56
2024-01-16,Monitor,Electronics,45,433,1931.7,Yes,Prime Distribution,12,86926.5
2024-09-27,Tablet,Electronics,46,371,208.13,No,Prime Distribution,3,9573.98
2023-08-22,Soap,Personal Care,29,103,215.94,Yes,Smart Wholesale,11,6262.26
2024-11-24,Camera,Electronics,61,129,655.55,No,Prime Distribution,15,39988.55
2024-01-12,Bread,Groceries,50,180,1793.22,No,Prime Distribution,11,89661.0
2024-12-26,Monitor,Electronics,60,443,850.69,Yes,Nova Supply,8,51041.4
2024-10-07,Sugar,Groceries,21,58,1903.67,Yes,Global Traders,13,39977.07
2023-05-21,Camera,Electronics,33,268,1585.11,Yes,Smart Wholesale,2,52308.63
2023-01-21,Phone,Electronics,35,81,1891.84,Yes,ABC Suppliers,14,66214.4
2024-09-11,Cheese,Groceries,21,267,1650.4,No,Smart Wholesale,9,34658.4
2024-08-11,Tablet,Electronics,45,410,1095.03,Yes,Nova Supply,2,49276.35
2023-01-07,Milk,Groceries,43,445,1741.21,Yes,Prime Distribution,14,74872.03
2023-04-21,Eggs,Groceries,50,207,1939.35,No,Nova Supply,11,96967.5
2024-08-01,Coffee,Groceries,38,279,1057.01,Yes,Nova Supply,4,40166.38
2024-05-04,Camera,Electronics,45,282,1997.91,Yes,Smart Wholesale,6,89905.95
2024-04-22,Keyboard,Electronics,50,194,1166.41,Yes,Prime Distribution,8,58320.5
2023-04-12,Camera,Electronics,35,266,125.72,Yes,Global Traders,2,4400.2
2023-08-08,Monitor,Electronics,42,166,636.26,Yes,Prime Distribution,7,26722.92
2023-06-18,Tablet,Electronics,47,186,942.28,No,Prime Distribution,4,44287.16
2024-06-24,Monitor,Electronics,53,261,154.77,No,Nova Supply,6,8202.81
2024-06-21,Mouse,Electronics,53,218,1926.46,No,Prime Distribution,8,102102.38
2023-03-16,Coffee,Groceries,52,457,1791.33,No,Global Traders,4,93149.16
2023-07-31,Headphones,Electronics,31,156,972.85,Yes,Smart Wholesale,6,30158.35
2023-07-15,Tablet,Electronics,58,399,328.67,No,Global Traders,9,19062.86
2023-01-29,Headphones,Electronics,42,271,1909.45,No,Nova Supply,15,80196.9
2023-05-29,Phone,Electronics,38,107,1767.9,Yes,ABC Suppliers,2,67180.2
2023-04-09,Tea,Groceries,23,260,155.53,Yes,Prime Distribution,6,3577.19
2024-02-27,Rice,Groceries,44,444,1458.88,No,Prime Distribution,2,64190.72
2024-12-16,Toothpaste,Personal Care,51,448,638.14,No,Nova Supply,10,32545.14
2023-03-28,Tablet,Electronics,49,186,1909.51,Yes,Prime Distribution,5,93565.99
2024-07-06,Tablet,Electronics,32,158,1886.8,No,Prime Distribution,6,60377.6
2024-08-23,Soap,Personal Care,46,348,305.35,Yes,Smart Wholesale,7,14046.1
2023-03-31,Eggs,Groceries,45,220,595.68,No,Global Traders,12,26805.6
2024-02-13,Milk,Groceries,51,351,1619.75,Yes,Prime Distribution,10,82607.25
2024-10-31,Keyboard,Electronics,39,108,1652.35,Yes,ABC Suppliers,3,64441.65
2023-07-30,Shampoo,Personal Care,45,438,146.58,Yes,Prime Distribution,14,6596.1
2023-10-10,Camera,Electronics,35,342,190.21,No,Global Traders,6,6657.35
2024-05-21,Bread,Groceries,43,388,1033.63,No,Global Traders,15,44446.09
2023-11-08,Toothpaste,Personal Care,68,239,218.99,Yes,Smart Wholesale,8,14891.32
2023-07-22,Milk,Groceries,44,242,1164.1,No,ABC Suppliers,11,51220.4
2024-10-15,Juice,Groceries,42,447,1934.76,Yes,Smart Wholesale,14,81259.92
2023-01-24,Keyboard,Electronics,27,370,1063.16,No,Global Traders,6,28705.32
2023-08-19,Headphones,Electronics,29,335,481.51,Yes,Nova Supply,13,13963.79
2023-03-08,Laptop,Electronics,29,85,77.99,Yes,Global Traders,14,2261.71
2024-05-12,Shampoo,Personal Care,50,223,1490.7,No,Prime Distribution,9,74535.0
2023-09-18,Bread,Groceries,45,121,1995.7,No,ABC Suppliers,3,89806.5
2024-01-25,Laptop,Electronics,44,389,103.88,No,Global Traders,13,4570.72
2024-01-23,Lotion,Personal Care,40,202,177.31,No,ABC Suppliers,15,7092.4
2023-09-06,Coffee,Groceries,52,195,1013.93,Yes,Nova Supply,9,52724.36
2023-06-14,Milk,Groceries,66,486,468.19,Yes,Smart Wholesale,3,30900.54
2023-07-26,Mouse,Electronics,55,454,1156.13,No,Global Traders,4,63587.15
2024-06-07,Soap,Personal Care,55,303,106.89,No,Nova Supply,2,5878.95
2024-11-15,Butter,Groceries,71,499,362.7,No,Smart Wholesale,10,25751.7
2024-01-10,Sanitizer,Personal Care,29,73,1414.1,Yes,Prime Distribution,5,41008.9
2024-01-31,Coffee,Groceries,49,371,1739.05,No,Global Traders,11,85213.45
2024-12-26,Sugar,Groceries,77,185,1444.52,Yes,Smart Wholesale,3,111228.04
2023-05-06,Soap,Personal Care,31,157,1263.61,No,Smart Wholesale,12,39171.91
2024-05-21,Sanitizer,Personal Care,33,150,619.85,No,ABC Suppliers,9,20455.05
2023-08-09,Sugar,Groceries,57,350,1054.65,Yes,Prime Distribution,5,60115.05
2023-09-08,Bread,Groceries,37,364,202.56,Yes,ABC Suppliers,2,7494.72
2024-04-16,Headphones,Electronics,24,378,384.52,No,Global Traders,2,9228.48
2023-06-28,Sugar,Groceries,70,126,1082.22,Yes,Prime Distribution,5,75755.4
2023-08-04,Mouse,Electronics,31,182,1669.13,No,Global Traders,11,51743.03
2023-05-15,Eggs,Groceries,34,329,794.22,No,ABC Suppliers,11,27003.48
2024-08-28,Speaker,Electronics,29,407,1235.81,No,ABC Suppliers,15,35838.49
2024-07-16,Butter,Groceries,44,180,329.89,No,ABC Suppliers,12,14515.16
2023-10-26,Sugar,Groceries,20,194,1447.14,Yes,Smart Wholesale,9,28942.8
2023-04-23,Tea,Groceries,39,66,1946.95,No,Global Traders,2,75931.05
2024-12-02,Mouse,Electronics,65,210,1522.57,No,Nova Supply,10,98967.05
2024-11-30,Monitor,Electronics,79,206,1306.28,No,Nova Supply,9,103196.12
2023-12-03,Lotion,Personal Care,63,286,1132.29,No,ABC Suppliers,15,71334.27
2024-01-13,Sugar,Groceries,23,178,1515.24,No,Prime Distribution,7,34850.52
2023-10-29,Keyboard,Electronics,46,432,986.02,Yes,Nova Supply,2,45356.92
2024-04-30,Milk,Groceries,44,397,1596.64,Yes,Nova Supply,12,70252.16
2023-10-28,Coffee,Groceries,23,462,199.92,Yes,Smart Wholesale,10,4598.16
2024-07-19,Keyboard,Electronics,29,440,563.8,No,ABC Suppliers,10,16350.2
2024-08-23,Monitor,Electronics,59,396,720.46,Yes,Global Traders,4,42507.14
2023-07-15,Milk,Groceries,56,402,1870.17,Yes,Prime Distribution,6,104729.52
2023-10-04,Conditioner,Personal Care,49,248,742.96,Yes,Nova Supply,7,36405.04
2023-03-16,Cheese,Groceries,38,281,18.79,Yes,Nova Supply,7,714.02
2023-09-19,Hair Oil,Personal Care,36,452,413.84,No,Smart Wholesale,13,14898.24
2024-01-23,Speaker,Electronics,41,60,537.0,No,Global Traders,13,22017.0
2023-06-18,Camera,Electronics,56,467,1786.09,Yes,Smart Wholesale,6,100021.04
2023-06-17,Sugar,Groceries,66,59,642.37,No,Nova Supply,12,42396.42
2023-03-18,Cheese,Groceries,40,337,1345.84,Yes,Smart Wholesale,6,53833.6
2024-05-12,Headphones,Electronics,53,55,327.09,Yes,Prime Distribution,7,17335.77
2023-01-22,Bread,Groceries,41,406,1266.49,No,Global Traders,5,51926.09
2024-05-06,Monitor,Electronics,22,473,479.29,Yes,Smart Wholesale,14,10544.38
2023-12-12,Phone,Electronics,62,51,1198.53,No,Smart Wholesale,13,74308.86
2023-01-26,Hair Oil,Personal Care,46,288,1786.07,Yes,Global Traders,9,82159.22
2024-11-14,Juice,Groceries,88,292,479.2,Yes,Smart Wholesale,8,42169.6
2024-05-10,Camera,Electronics,47,499,1992.91,Yes,Smart Wholesale,14,93666.77
2024-11-08,Cheese,Groceries,62,447,214.03,No,Smart Wholesale,13,13269.86
2024-09-06,Sugar,Groceries,45,484,101.23,No,Prime Distribution,14,4555.35
2023-03-11,Face Wash,Personal Care,44,383,1198.32,No,Global Traders,9,52726.08
2024-02-12,Shampoo,Personal Care,45,235,1171.44,No,Smart Wholesale,6,52714.8
2023-10-18,Laptop,Electronics,38,263,120.41,Yes,ABC Suppliers,12,4575.58
2023-10-25,Camera,Electronics,53,191,668.51,No,Global Traders,4,35431.03
2023-09-07,Soap,Personal Care,32,406,879.98,No,Nova Supply,4,28159.36
2023-01-17,Monitor,Electronics,40,101,1185.02,No,Smart Wholesale,8,47400.8
2023-02-23,Sanitizer,Personal Care,35,391,1436.87,No,Smart Wholesale,3,50290.45
2023-07-06,Phone,Electronics,41,85,1193.58,Yes,Prime Distribution,5,48936.78
2023-06-04,Sugar,Groceries,61,249,1920.42,Yes,Prime Distribution,10,117145.62
2023-04-08,Hair Oil,Personal Care,38,332,209.4,Yes,Nova Supply,15,7957.2
2023-05-19,Coffee,Groceries,35,123,1585.01,No,Nova Supply,10,55475.35
2023-04-24,Headphones,Electronics,49,457,84.49,Yes,ABC Suppliers,5,4140.01
2024-06-07,Hair Oil,Personal Care,82,55,1884.21,Yes,Smart Wholesale,14,154505.22
2023-06-01,Lotion,Personal Care,49,447,38.46,Yes,Smart Wholesale,8,1884.54
2023-01-21,Conditioner,Personal Care,27,90,1639.33,No,Global Traders,14,44261.91
2024-12-27,Butter,Groceries,70,290,1938.43,Yes,Global Traders,2,135690.1
2024-11-29,Rice,Groceries,74,367,918.71,No,Nova Supply,15,67984.54
2023-08-20,Sanitizer,Personal Care,60,330,75.98,No,Global Traders,11,4558.8
2024-03-02,Shampoo,Personal Care,48,153,1567.13,Yes,Nova Supply,3,75222.24
2024-05-17,Printer,Electronics,33,286,1788.36,No,Prime Distribution,10,59015.88
2023-06-30,Bread,Groceries,56,168,71.88,Yes,Prime Distribution,3,4025.28
2024-07-19,Sanitizer,Personal Care,39,402,1753.95,Yes,Prime Distribution,12,68404.05
2023-09-14,Monitor,Electronics,43,259,477.42,No,Smart Wholesale,8,20529.06
2023-06-19,Camera,Electronics,54,69,262.27,No,Global Traders,4,14162.58
2023-10-10,Deodorant,Personal Care,15,309,996.01,No,Smart Wholesale,4,14940.15
2023-05-19,Keyboard,Electronics,31,157,1308.82,No,Global Traders,13,40573.42
2023-05-19,Soap,Personal Care,38,179,325.37,No,Smart Wholesale,15,12364.06
2024-03-08,Soap,Personal Care,52,117,1444.29,No,Nova Supply,3,75103.08
2024-05-28,Sanitizer,Personal Care,30,410,1138.8,Yes,Smart Wholesale,11,34164.0
2023-10-16,Hair Oil,Personal Care,36,359,1423.02,Yes,Global Traders,5,51228.72
2024-10-30,Headphones,Electronics,40,168,1927.76,No,Global Traders,8,77110.4
2024-10-03,Milk,Groceries,44,491,304.23,Yes,Nova Supply,4,13386.12
2023-08-18,Keyboard,Electronics,38,120,447.15,No,Global Traders,14,16991.7
2023-08-26,Sugar,Groceries,28,282,696.02,Yes,Nova Supply,13,19488.56
2024-03-08,Shampoo,Personal Care,43,395,1160.94,Yes,Nova Supply,15,49920.42
2023-05-16,Cheese,Groceries,31,76,1550.39,Yes,Smart Wholesale,10,48062.09
2023-03-16,Soap,Personal Care,42,160,881.38,No,Prime Distribution,11,37017.96
2023-11-09,Butter,Groceries,71,477,127.45,Yes,Nova Supply,5,9048.95
2024-09-27,Juice,Groceries,28,413,243.01,No,Global Traders,10,6804.28
2024-06-05,Juice,Groceries,55,417,938.47,Yes,Global Traders,10,51615.85
2023-11-08,Deodorant,Personal Care,80,431,869.96,Yes,Smart Wholesale,9,69596.8
2023-09-30,Butter,Groceries,32,491,1559.09,No,ABC Suppliers,15,49890.88
2023-08-30,Deodorant,Personal Care,55,57,27.01,No,Smart Wholesale,14,1485.55
2023-12-18,Headphones,Electronics,65,351,1292.88,Yes,ABC Suppliers,14,84037.2
2024-07-13,Butter,Groceries,57,400,1409.15,Yes,ABC Suppliers,4,80321.55
2023-12-28,Printer,Electronics,70,129,186.83,Yes,Nova Supply,15,13078.1
2023-04-05,Rice,Groceries,51,129,1691.22,Yes,ABC Suppliers,7,86252.22
2024-08-14,Headphones,Electronics,30,441,1424.89,Yes,Smart Wholesale,15,42746.7
2023-01-12,Deodorant,Personal Care,21,324,278.43,No,Smart Wholesale,10,5847.03
2024-06-23,Rice,Groceries,65,131,170.85,No,ABC Suppliers,8,11105.25
2024-10-27,Coffee,Groceries,30,303,1556.71,Yes,Prime Distribution,10,46701.3
2023-11-10,Butter,Groceries,69,384,274.2,No,Smart Wholesale,2,18919.8
2024-11-14,Toothpaste,Personal Care,52,335,1153.47,Yes,Global Traders,8,59980.44
2024-09-22,Juice,Groceries,48,443,1066.41,Yes,ABC Suppliers,4,51187.68
2023-04-08,Deodorant,Personal Care,49,297,1788.49,Yes,Global Traders,14,87636.01
2024-03-01,Mouse,Electronics,45,96,1824.82,Yes,Global Traders,12,82116.9
2024-11-22,Butter,Groceries,52,280,1457.9,No,Smart Wholesale,15,75810.8
2024-07-12,Shampoo,Personal Care,58,385,823.79,No,ABC Suppliers,2,47779.82
2024-08-15,Shampoo,Personal Care,35,326,456.07,Yes,Smart Wholesale,3,15962.45
2023-12-07,Sanitizer,Personal Care,69,419,1450.59,No,Prime Distribution,6,100090.71
2023-10-16,Butter,Groceries,61,404,149.43,No,ABC Suppliers,12,9115.23
2023-01-22,Perfume,Personal Care,49,153,752.05,Yes,Nova Supply,3,36850.45
2023-11-26,Milk,Groceries,71,116,1990.8,No,Smart Wholesale,3,141346.8
2024-06-23,Eggs,Groceries,32,351,490.5,Yes,Smart Wholesale,9,15696.0
2023-04-01,Juice,Groceries,47,91,313.77,Yes,Nova Supply,11,14747.19
2024-05-19,Mouse,Electronics,32,426,631.23,Yes,ABC Suppliers,15,20199.36
2023-07-18,Perfume,Personal Care,51,431,1640.34,Yes,Nova Supply,10,83657.34
2024-05-09,Mouse,Electronics,53,354,1945.72,Yes,Prime Distribution,11,103123.16
